season,date,home_team,away_team,home_win_bool,home_max_rating_Defense,home_max_rating_GK,home_max_rating_Midfield,home_max_rating_Attack,home_median_rating_Defense,home_median_rating_GK,home_median_rating_Midfield,home_median_rating_Attack,home_var_rating_Defense,home_var_rating_GK,home_var_rating_Midfield,home_var_rating_Attack,home_sum_work_rate_Defense,home_sum_work_rate_GK,home_sum_work_rate_Midfield,home_sum_work_rate_Attack,away_max_rating_Defense,away_max_rating_GK,away_max_rating_Midfield,away_max_rating_Attack,away_median_rating_Defense,away_median_rating_GK,away_median_rating_Midfield,away_median_rating_Attack,away_var_rating_Defense,away_var_rating_GK,away_var_rating_Midfield,away_var_rating_Attack,away_sum_work_rate_Defense,away_sum_work_rate_GK,away_sum_work_rate_Midfield,away_sum_work_rate_Attack,home_win_1_0,diff_max_rating_Defense,diff_max_rating_GK,diff_max_rating_Midfield,diff_max_rating_Attack,diff_median_rating_Defense,diff_median_rating_GK,diff_median_rating_Midfield,diff_median_rating_Attack,diff_var_rating_Defense,diff_var_rating_GK,diff_var_rating_Midfield,diff_var_rating_Attack,diff_sum_work_rate_Defense,diff_sum_work_rate_GK,diff_sum_work_rate_Midfield,diff_sum_work_rate_Attack,diff_median_rating_home_attack_away_defense,diff_median_rating_home_defense_away_attack,diff_max_rating_home_attack_away_gk,diff_max_rating_home_gk_away_attack
14/15,2014-08-16,Arsenal,Crystal Palace,TRUE,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,1,2,9,4,15,1.5,7,5,13,4.5,57.10256410256411,-0.3333333333333333,17.333333333333332,1,3,0,2,12,2.5,11,13
14/15,2014-08-16,West Bromwich Albion,Sunderland,FALSE,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,0,-1,2,-3,4,-1.5,2,-2,4,2.5,-5.521367521367537,12.999999999999998,0,0,-2,0,0,4,-1.5,-1,7
14/15,2014-08-17,Liverpool,Southampton,TRUE,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,1,3,5,1,5,-0.5,6,-1,5,31.5,28.444444444444443,-5.999999999999998,0,1,2,2,-1,7.5,-3,4,6
14/15,2014-08-17,Newcastle United,Manchester City,FALSE,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,0,-7,-7,-8,-13,-8.5,-10,-9,-13,10.5,-96.93447293447296,-12,0,0,1,-1,0,-8,-13.5,-13,-7
14/15,2014-08-23,Everton,Arsenal,FALSE,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,0,6,-2,3,-6,7,-4,1,-4,-8,-21.871794871794876,4,-17.333333333333332,1,-1,2,-1,6.5,-3.5,-4,-4
14/15,2014-08-23,Southampton,West Bromwich Albion,FALSE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,0,3,-1,6,1,4,-1,7,1,-4,3.7606837606837473,-6,0,0,0,1,-1,6.5,-1.5,-2,2
14/15,2014-08-24,Tottenham Hotspur,Queens Park Rangers,TRUE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,1,-2,6,3,6,0,5,5,6,-12,17.324786324786302,-10.333333333333332,0,0,7,2,-1,6.5,-0.5,1,11
14/15,2014-08-25,Manchester City,Liverpool,TRUE,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,1,4,3,6,4,7,2,4,4,-30,44.820512820512846,18,0,0,1,-1,2,12,-1,3,4
14/15,2014-08-30,Everton,Chelsea,FALSE,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,0,1,-4,-8,-5,0.5,-3,-6,-5,2.5,-67.74074074074073,-8.333333333333332,0,1,-3,2,0,0,-4.5,-6,-3
14/15,2014-08-30,Manchester City,Stoke City,FALSE,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,0,9,4,10,11,9,6,8,11,0,69.39316239316243,18,0,2,3,1,1,14,6,4,11
14/15,2014-08-30,Newcastle United,Crystal Palace,FALSE,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,0,1,4,6,2,0.5,-2,2,2,4.5,7.022792022792025,7.999999999999999,0,2,5,0,1,1,1.5,-2,8
14/15,2014-08-30,Queens Park Rangers,Sunderland,TRUE,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,1,3,2,2,2,1.5,2,-2,2,10.5,0.7179487179487012,15.999999999999998,0,0,-5,0,0,2,1.5,-3,7
14/15,2014-08-30,Swansea City,West Bromwich Albion,TRUE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,1,3,0,3,5,3,-5,1.5,5,0,-5.9965242165242145,-12.333333333333332,0,1,-1,3,-1,10.5,-2.5,2,3
14/15,2014-08-31,Tottenham Hotspur,Liverpool,FALSE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,0,-4,2,1,-2,-0.5,0,-1,-2,-31.5,-8.64102564102565,4.666666666666666,0,-1,2,-1,1,6,-8.5,-3,3
14/15,2014-09-13,Arsenal,Manchester City,FALSE,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,0,-6,-2,-10,0,-7.5,-1,-6,-2,10.5,-46.85470085470088,-20.333333333333332,17.333333333333332,-1,-1,-1,1,3,-12.5,0,-2
14/15,2014-09-13,Chelsea,Swansea City,TRUE,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,1,6,7,11,4,6.5,10,9.5,4,-2.5,82.03641025641022,10.333333333333332,0,-1,5,-2,1,11.5,-1,6,5
14/15,2014-09-13,Southampton,Newcastle United,TRUE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,1,0,-1,1,4,2,2,6,4,-12,23.669515669515675,0,0,-1,-4,0,-1,4.5,1.5,-2,5
